ID,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Name_hash
113053,M,20.0,175.0,63.0,Hungary,HUN,1906 Summer,1906,Summer,Athina,Athletics,Athletics Men's High Jump,,a3124394e0965fed9fa6b84500c5fdefdc2c05dd9c3782ea8e859f64224c35f9
113053,M,20.0,175.0,63.0,Hungary,HUN,1906 Summer,1906,Summer,Athina,Athletics,Athletics Men's Long Jump,,a3124394e0965fed9fa6b84500c5fdefdc2c05dd9c3782ea8e859f64224c35f9
113053,M,20.0,175.0,63.0,Hungary,HUN,1906 Summer,1906,Summer,Athina,Athletics,Athletics Men's Standing Long Jump,,a3124394e0965fed9fa6b84500c5fdefdc2c05dd9c3782ea8e859f64224c35f9
113053,M,22.0,175.0,63.0,Hungary,HUN,1908 Summer,1908,Summer,London,Athletics,Athletics Men's High Jump,Silver,a3124394e0965fed9fa6b84500c5fdefdc2c05dd9c3782ea8e859f64224c35f9
113054,M,22.0,173.0,67.0,Hungary,HUN,1976 Summer,1976,Summer,Montreal,Fencing,"Fencing Men's Foil, Individual",,1b41c91ddd3445d0725dbb9be51f6706921ad6347f487386b40d02d779ffb2d0
113054,M,22.0,173.0,67.0,Hungary,HUN,1976 Summer,1976,Summer,Montreal,Fencing,"Fencing Men's Foil, Team",,1b41c91ddd3445d0725dbb9be51f6706921ad6347f487386b40d02d779ffb2d0
113055,M,27.0,,,Hungary,HUN,1956 Summer,1956,Summer,Melbourne,Fencing,"Fencing Men's Foil, Individual",,1cc4064f0a5d5915943a333f87531b477ec13bfb1975111981eaa5c6b0bda886
113055,M,27.0,,,Hungary,HUN,1956 Summer,1956,Summer,Melbourne,Fencing,"Fencing Men's Foil, Team",Bronze,1cc4064f0a5d5915943a333f87531b477ec13bfb1975111981eaa5c6b0bda886
113057,M,34.0,,,Hungary,HUN,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 50 kilometres Walk,,752aef03fdfc24e10d7ebd6b66fff534b2e0df9185dd431a029ec2b4ba07d9c6
113058,M,26.0,194.0,90.0,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",,312511741d81ee494244b6c761839afee15636233d9f1b81ac4d87db03396953
113058,M,26.0,194.0,90.0,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Cycling,Cycling Men's Points Race,,312511741d81ee494244b6c761839afee15636233d9f1b81ac4d87db03396953
113058,M,29.0,194.0,90.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Cycling,Cycling Men's Points Race,,312511741d81ee494244b6c761839afee15636233d9f1b81ac4d87db03396953
